7.918		3.345		0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000		
-0.962		5.123		-3.113		0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000		
0.000		0.133		4.156		-1.823		0.000		0.000		0.000		0.000		0.000		0.000		0.000		
0.000		0.000		4.948		9.298		-0.594		0.000		0.000		0.000		0.000		0.000		0.000		
0.000		0.000		0.000		1.573		-7.253		-3.620		0.000		0.000		0.000		0.000		0.000		
0.000		0.000		0.000		0.000		-2.053		-9.181		1.704		0.000		0.000		0.000		0.000		
0.000		0.000		0.000		0.000		0.000		-2.102		7.235		3.596		0.000		0.000		0.000		
0.000		0.000		0.000		0.000		0.000		0.000		1.087		-6.180		0.116		0.000		0.000		
0.000		0.000		0.000		0.000		0.000		0.000		0.000		-1.959		9.103		3.125		0.000		
0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000		-4.660		8.880		1.608		
0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000		0.000		-3.091		-3.282		

-4		-8		8		-1		-5		7		2		9		1		5		8		

//сначала матрица ј, потом вектор х(транспонированный), далее вектор f(-//-) считаем в программе
