id,customer_id,product_id,Qty,Date
1,27,4,16,14.08.2015
2,49,142,10,17.02.2014
3,48,293,15,23.01.2015
4,49,324,6,06.05.2015
5,12,215,17,22.06.2014
6,63,174,18,27.09.2014
7,46,484,7,31.12.2013
8,38,370,2,26.05.2014
9,37,390,16,02.07.2014
10,17,323,12,13.01.2014
11,42,268,16,09.10.2014
12,9,21,9,18.06.2015
13,19,207,2,31.03.2014
14,24,333,18,01.10.2015
15,23,272,13,29.01.2016
16,28,91,8,09.05.2015
17,21,387,5,04.02.2014
18,15,75,19,03.06.2014
19,5,21,14,05.09.2015
20,37,111,7,23.02.2015
21,55,3,8,25.10.2014
22,72,214,14,22.08.2014
23,33,44,6,08.12.2015
24,40,434,8,10.01.2014
25,70,51,13,13.11.2015
26,69,67,7,21.07.2014
27,5,305,1,30.01.2014
28,47,63,4,25.03.2015
29,51,87,2,15.04.2015
30,34,182,7,09.08.2015
31,52,260,2,29.12.2013
32,47,179,15,29.03.2015
33,43,59,13,10.06.2014
34,60,130,13,24.05.2015
35,42,119,8,13.07.2015
36,12,298,3,28.07.2014
37,6,473,2,22.09.2014
38,44,410,1,06.02.2015
39,22,26,5,05.08.2015
40,37,154,3,17.06.2015
41,26,151,14,28.04.2015
42,51,442,1,06.11.2014
43,52,63,20,25.07.2015
44,26,197,1,25.10.2015
45,52,481,12,18.05.2015
46,62,63,7,16.12.2014
47,55,115,10,02.01.2015
48,37,386,14,06.11.2014
49,13,113,13,14.04.2014
50,65,289,10,05.06.2014
51,28,49,9,09.03.2015
52,26,335,8,31.01.2015
53,24,153,15,14.07.2015
54,55,414,15,29.03.2015
55,51,165,19,16.01.2016
56,7,305,4,02.11.2014
57,36,397,4,28.12.2014
58,70,4,12,25.01.2016
59,51,209,17,28.01.2016
60,71,234,13,11.01.2016
61,6,310,20,20.02.2015
62,51,49,1,30.06.2014
63,14,16,12,11.07.2015
64,27,489,15,06.11.2015
65,48,203,17,05.03.2014
66,32,125,14,24.12.2015
67,62,48,19,22.01.2014
68,60,45,15,20.03.2014
69,15,171,8,22.10.2014
70,47,26,7,30.09.2015
71,36,224,7,30.08.2015
72,28,123,10,14.06.2015
73,25,479,1,27.01.2016
74,18,414,19,09.08.2015
75,17,302,8,04.01.2016
76,16,485,19,25.04.2015
77,72,83,10,28.03.2014
78,55,376,17,17.06.2015
79,35,168,9,25.01.2014
80,30,449,10,27.09.2015
81,20,166,20,22.01.2016
82,10,78,7,27.02.2014
83,16,200,10,13.12.2014
84,71,241,12,01.04.2014
85,37,281,18,29.05.2014
86,39,432,14,02.04.2015
87,39,61,5,18.12.2014
88,66,432,14,22.03.2015
89,66,77,14,20.02.2015
90,70,318,1,14.12.2015
91,36,471,6,25.07.2015
92,47,283,4,14.08.2014
93,72,153,3,03.05.2014
94,56,95,12,21.03.2015
95,46,319,17,16.01.2015
96,50,229,1,15.06.2014
97,72,134,11,04.03.2015
98,56,404,7,01.11.2015
99,32,446,16,22.01.2016
100,34,80,10,08.07.2015
101,50,104,5,02.03.2014
102,60,68,10,11.11.2014
103,60,442,5,30.07.2014
104,40,7,6,18.02.2014
105,52,99,20,28.01.2014
106,69,287,4,29.12.2014
107,32,14,9,15.12.2013
108,27,393,7,30.09.2015
109,34,95,7,20.10.2015
110,57,134,7,18.12.2014
111,41,299,1,15.01.2016
112,9,399,18,22.04.2015
113,7,1,8,11.03.2015
114,44,163,16,18.02.2015
115,26,143,17,24.09.2014
116,71,358,9,24.02.2014
117,10,411,9,08.12.2015
118,16,285,12,12.08.2015
119,11,301,8,23.04.2015
120,68,402,19,26.12.2013
121,26,342,3,31.10.2014
122,71,222,9,08.05.2015
123,52,472,18,05.01.2016
124,14,183,6,21.03.2015
125,13,207,6,08.05.2015
126,49,242,13,09.02.2015
127,23,366,13,30.07.2014
128,70,101,7,11.03.2015
129,35,308,11,18.01.2015
130,44,36,9,08.01.2016
131,57,11,2,03.03.2014
132,8,248,14,12.12.2013
133,40,65,9,04.03.2015
134,8,239,8,28.08.2014
135,8,219,19,03.10.2015
136,11,230,13,09.02.2014
137,51,197,5,17.08.2014
138,27,219,12,07.12.2013
139,43,131,8,23.03.2014
140,41,437,2,03.11.2014
141,19,133,15,18.10.2014
142,65,398,8,03.07.2015
143,57,289,7,29.09.2015
144,52,258,20,21.07.2014
145,70,261,16,16.02.2015
146,67,402,15,15.01.2015
147,32,490,15,23.07.2014
148,28,300,3,17.08.2015
149,29,123,1,15.12.2015
150,51,445,17,04.03.2014
151,25,427,19,14.04.2014
152,21,50,19,31.07.2015
153,54,275,12,15.05.2014
154,65,286,20,08.09.2015
155,55,472,2,01.10.2015
156,38,361,14,17.07.2014
157,70,43,2,24.02.2015
158,44,89,2,25.09.2014
159,69,91,3,09.04.2015
160,11,71,11,09.04.2014
161,57,134,19,11.05.2014
162,50,303,18,20.11.2014
163,31,4,3,16.10.2015
164,14,430,18,09.01.2015
165,51,247,8,18.06.2014
166,35,100,6,19.07.2015
167,55,206,17,21.09.2014
168,53,257,18,22.07.2014
169,52,258,6,01.12.2015
170,52,126,20,29.07.2014
171,54,198,19,03.03.2015
172,66,344,17,21.06.2015
173,20,108,5,26.09.2015
174,70,66,8,14.05.2014
175,18,216,8,25.02.2014
176,61,373,9,07.08.2014
177,27,332,3,22.02.2014
178,24,346,18,19.06.2015
179,20,134,9,20.09.2014
180,68,40,8,12.10.2015
181,8,343,6,16.07.2015
182,52,286,19,10.06.2015
183,70,138,4,14.10.2014
184,23,424,6,15.06.2014
185,70,439,19,27.06.2014
186,40,414,19,29.04.2014
187,10,259,13,26.08.2014
188,68,200,14,23.02.2015
189,10,4,12,08.09.2015
190,63,492,6,21.03.2014
191,41,110,7,14.08.2015
192,5,449,20,07.05.2015
193,31,75,20,21.06.2014
194,31,337,9,15.02.2014
195,38,279,16,12.10.2014
196,13,421,14,15.06.2014
197,43,417,2,14.01.2016
198,53,193,8,17.03.2014
199,18,472,19,05.01.2014
200,39,144,5,25.06.2015
201,9,127,6,04.01.2015
202,31,226,20,02.05.2014
203,29,406,5,10.09.2014
204,51,226,6,05.11.2014
205,14,325,11,12.08.2014
206,20,205,1,28.01.2014
207,63,300,20,28.08.2014
208,14,152,19,01.03.2015
209,70,393,5,27.11.2015
210,66,333,20,08.03.2015
211,6,337,1,20.10.2015
212,56,451,17,30.01.2014
213,57,437,8,24.04.2014
214,13,85,15,14.10.2014
215,5,477,18,29.09.2015
216,67,337,16,04.05.2014
217,58,365,1,19.08.2015
218,29,400,19,16.08.2015
