-3.30		-8.11		3.75		5.31		9.33		6.27		4.60		-1.23		-7.15		9.14		
6.29		-5.17		8.38		9.52		7.11		-3.25		-5.27		-6.29		0.29		3.31		
5.38		-2.49		3.17		4.32		-1.26		-7.34		-7.27		8.17		-2.41		-5.18		
5.16		7.15		0.27		2.35		1.30		-3.14		6.11		-3.18		-5.31		2.29		
-8.59		4.55		-4.22		-4.26		-3.18		-8.13		1.11		2.48		6.19		-1.14		
-6.16		-1.24		6.33		1.18		4.59		2.32		-8.33		9.18		-8.91		-9.68		
0.23		-1.25		8.30		-2.20		5.28		-4.99		5.32		6.22		9.11		1.25		
2.13		-4.12		9.16		7.70		-4.25		-8.24		-6.21		-4.25		-4.18		8.92		
2.11		1.62		2.17		9.22		3.81		2.25		-2.18		5.23		-7.27		-4.46		
6.18		-9.55		-3.61		7.16		1.28		8.76		-4.60		6.20		-4.26		-2.21		


-6		1		7		2		4		5		5		-8		-7		-7		

//сначала матрица ј, потом вектор х(транспонированный), потом вектор f(-//-) считаем в программе
